feedback_id,project_id,user_id,feedback_type,feedback_text,priority,sentiment,channel,created_at
FDBK00003762,PROJ000146,USR000650,Improvement,Simplify navigation menus.,Medium,Negative,Email,2025-01-03
FDBK00003763,PROJ000133,USR000290,Improvement,Enhance dashboard usability.,Critical,Positive,Support Ticket,2025-09-28
FDBK00003764,PROJ000229,USR000562,Question,How do permissions work?,High,Neutral,Web,2025-04-27
FDBK00003765,PROJ000158,USR000752,Improvement,Improve application performance.,Medium,Positive,Survey,2025-04-20
FDBK00003766,PROJ000175,USR000285,Feature Request,Provide export to PDF option.,Low,Neutral,Mobile,2025-08-04
FDBK00003767,PROJ000222,USR000793,Complaint,Too many unnecessary notifications.,Low,Positive,Mobile,2024-10-08
FDBK00003768,PROJ000205,USR000529,Praise,AI suggestions are extremely useful.,Medium,Neutral,Support Ticket,2025-03-12
FDBK00003769,PROJ000121,USR000080,Improvement,Enhance dashboard usability.,Medium,Positive,Email,2025-05-10
FDBK00003770,PROJ000197,USR000519,Complaint,Support response is too slow.,Medium,Negative,Survey,2024-10-12
FDBK00003771,PROJ000051,USR000623,Improvement,Improve application performance.,Low,Neutral,Mobile,2025-11-14
FDBK00003772,PROJ000041,USR000011,Bug Report,Notification emails are duplicated.,Critical,Positive,Support Ticket,2025-04-01
FDBK00003773,PROJ000223,USR000359,Bug Report,Application crashes while generating reports.,Critical,Negative,Survey,2024-10-13
FDBK00003774,PROJ000174,USR000308,Feature Request,Enable custom dashboard widgets.,Critical,Negative,Support Ticket,2025-04-12
FDBK00003775,PROJ000246,USR000529,Bug Report,Notification emails are duplicated.,Critical,Negative,Web,2025-05-26
FDBK00003776,PROJ000063,USR000164,Complaint,Application freezes frequently.,Critical,Negative,Mobile,2026-05-06
FDBK00003777,PROJ000190,USR000756,Praise,Excellent dashboard experience.,Medium,Positive,Mobile,2026-04-25
FDBK00003778,PROJ000135,USR000792,Question,Can I restore deleted tickets?,Medium,Neutral,Mobile,2025-09-25
FDBK00003779,PROJ000119,USR000080,Praise,Very intuitive interface.,Medium,Negative,Email,2026-07-13
FDBK00003780,PROJ000083,USR000661,Praise,Great collaboration features.,High,Negative,Web,2025-10-17
FDBK00003781,PROJ000032,USR000394,Question,Is API access available?,High,Neutral,Survey,2026-05-03
FDBK00003782,PROJ000227,USR000248,Feature Request,Provide export to PDF option.,High,Neutral,Web,2024-08-16
FDBK00003783,PROJ000107,USR000053,Complaint,Support response is too slow.,Medium,Neutral,Survey,2026-06-01
FDBK00003784,PROJ000211,USR000763,Improvement,Improve application performance.,High,Positive,Web,2025-12-15
FDBK00003785,PROJ000057,USR000354,Bug Report,Login page becomes unresponsive after timeout.,Low,Neutral,Mobile,2025-05-13
FDBK00003786,PROJ000081,USR000429,Bug Report,Application crashes while generating reports.,Critical,Negative,Email,2024-08-24
FDBK00003787,PROJ000097,USR000449,Praise,Great collaboration features.,Critical,Neutral,Mobile,2026-03-06
FDBK00003788,PROJ000005,USR000791,Praise,Fast and reliable platform.,Low,Negative,Support Ticket,2026-06-16
FDBK00003789,PROJ000101,USR000051,Bug Report,Notification emails are duplicated.,Low,Neutral,Email,2025-12-11
FDBK00003790,PROJ000068,USR000425,Praise,Great collaboration features.,Critical,Neutral,Web,2025-12-06
FDBK00003791,PROJ000146,USR000007,Improvement,Enhance dashboard usability.,High,Neutral,Web,2026-05-24
FDBK00003792,PROJ000053,USR000269,Complaint,Reports are difficult to understand.,High,Negative,Web,2025-11-13
FDBK00003793,PROJ000025,USR000407,Feature Request,Integrate with Slack notifications.,High,Neutral,Web,2026-02-23
FDBK00003794,PROJ000249,USR000144,Question,Can I restore deleted tickets?,High,Positive,Survey,2026-01-18
FDBK00003795,PROJ000198,USR000420,Question,How do permissions work?,High,Neutral,Support Ticket,2025-09-10
FDBK00003796,PROJ000108,USR000765,Feature Request,Support multilingual interface.,Medium,Positive,Web,2024-10-14
FDBK00003797,PROJ000012,USR000434,Complaint,Workflow is confusing.,Critical,Negative,Web,2026-03-21
FDBK00003798,PROJ000046,USR000427,Bug Report,Search results are inaccurate.,High,Negative,Web,2025-01-06
FDBK00003799,PROJ000008,USR000037,Question,How do permissions work?,Medium,Negative,Web,2025-07-09
FDBK00003800,PROJ000241,USR000350,Improvement,Improve application performance.,Critical,Positive,Survey,2025-06-09
FDBK00003801,PROJ000088,USR000088,Bug Report,Search results are inaccurate.,Critical,Neutral,Web,2024-12-17
FDBK00003802,PROJ000193,USR000553,Bug Report,Dashboard takes too long to load.,High,Negative,Support Ticket,2026-03-02
FDBK00003803,PROJ000205,USR000373,Complaint,Workflow is confusing.,High,Negative,Mobile,2025-05-11
FDBK00003804,PROJ000220,USR000759,Improvement,Simplify navigation menus.,Medium,Neutral,Email,2026-07-07
FDBK00003805,PROJ000090,USR000634,Praise,AI suggestions are extremely useful.,Critical,Positive,Survey,2025-10-18
FDBK00003806,PROJ000096,USR000774,Feature Request,Add dark mode support.,High,Negative,Web,2025-08-30
FDBK00003807,PROJ000001,USR000073,Complaint,Application freezes frequently.,Low,Negative,Mobile,2025-05-24
FDBK00003808,PROJ000093,USR000131,Question,Is API access available?,Medium,Neutral,Survey,2025-08-06
FDBK00003809,PROJ000181,USR000270,Question,Where can I export analytics?,Low,Neutral,Support Ticket,2024-12-20
FDBK00003810,PROJ000044,USR000484,Praise,AI suggestions are extremely useful.,High,Positive,Mobile,2024-09-30
FDBK00003811,PROJ000073,USR000362,Praise,Great collaboration features.,High,Positive,Support Ticket,2026-02-28
FDBK00003812,PROJ000242,USR000728,Bug Report,Application crashes while generating reports.,Medium,Neutral,Support Ticket,2026-03-19
FDBK00003813,PROJ000146,USR000635,Bug Report,Login page becomes unresponsive after timeout.,Medium,Neutral,Web,2024-10-06
FDBK00003814,PROJ000201,USR000446,Question,Is API access available?,Critical,Positive,Email,2025-07-13
FDBK00003815,PROJ000223,USR000604,Question,How do permissions work?,Medium,Positive,Email,2024-09-07
FDBK00003816,PROJ000093,USR000653,Complaint,Reports are difficult to understand.,Critical,Negative,Survey,2025-08-02
FDBK00003817,PROJ000110,USR000451,Praise,Very intuitive interface.,Critical,Positive,Survey,2025-07-03
FDBK00003818,PROJ000236,USR000249,Question,Can I restore deleted tickets?,Critical,Positive,Email,2024-12-07
FDBK00003819,PROJ000184,USR000565,Praise,Excellent dashboard experience.,High,Negative,Email,2024-08-29
FDBK00003820,PROJ000164,USR000344,Question,How do I archive projects?,High,Positive,Email,2025-11-14
FDBK00003821,PROJ000007,USR000633,Praise,AI suggestions are extremely useful.,Critical,Positive,Email,2025-12-23
FDBK00003822,PROJ000049,USR000478,Improvement,Reduce loading times.,Low,Neutral,Web,2026-03-10
FDBK00003823,PROJ000177,USR000064,Praise,Excellent dashboard experience.,Critical,Negative,Survey,2026-01-29
FDBK00003824,PROJ000213,USR000165,Feature Request,Support multilingual interface.,High,Positive,Email,2024-12-20
FDBK00003825,PROJ000065,USR000136,Improvement,Optimize search experience.,Low,Neutral,Support Ticket,2025-05-18
FDBK00003826,PROJ000147,USR000292,Praise,Very intuitive interface.,Critical,Negative,Survey,2025-05-24
FDBK00003827,PROJ000218,USR000662,Feature Request,Support multilingual interface.,Low,Negative,Support Ticket,2024-10-31
FDBK00003828,PROJ000055,USR000654,Complaint,Too many unnecessary notifications.,Medium,Negative,Email,2026-07-03
FDBK00003829,PROJ000103,USR000674,Question,Is API access available?,Low,Neutral,Web,2025-02-25
FDBK00003830,PROJ000035,USR000689,Bug Report,Search results are inaccurate.,Low,Neutral,Email,2024-12-09
FDBK00003831,PROJ000080,USR000353,Bug Report,Dashboard takes too long to load.,Medium,Positive,Web,2026-01-10
FDBK00003832,PROJ000208,USR000246,Improvement,Simplify navigation menus.,High,Neutral,Mobile,2025-06-17
FDBK00003833,PROJ000101,USR000762,Praise,Very intuitive interface.,Low,Positive,Web,2026-01-05
FDBK00003834,PROJ000009,USR000065,Complaint,Reports are difficult to understand.,Critical,Neutral,Survey,2025-09-17
FDBK00003835,PROJ000084,USR000444,Complaint,Reports are difficult to understand.,Critical,Positive,Email,2025-07-29
FDBK00003836,PROJ000135,USR000649,Praise,Fast and reliable platform.,Low,Negative,Survey,2025-11-27
FDBK00003837,PROJ000250,USR000746,Praise,AI suggestions are extremely useful.,Medium,Neutral,Email,2024-09-30
FDBK00003838,PROJ000174,USR000115,Feature Request,Add dark mode support.,Low,Negative,Web,2025-02-01
FDBK00003839,PROJ000159,USR000337,Improvement,Optimize search experience.,High,Positive,Email,2025-10-16
FDBK00003840,PROJ000057,USR000231,Complaint,Reports are difficult to understand.,Low,Negative,Survey,2026-06-24
FDBK00003841,PROJ000094,USR000246,Feature Request,Add dark mode support.,High,Positive,Web,2025-07-20
FDBK00003842,PROJ000004,USR000140,Complaint,Workflow is confusing.,High,Neutral,Web,2026-01-09
FDBK00003843,PROJ000070,USR000239,Praise,AI suggestions are extremely useful.,Critical,Positive,Mobile,2025-03-23
FDBK00003844,PROJ000061,USR000042,Bug Report,Notification emails are duplicated.,Medium,Negative,Mobile,2025-11-14
FDBK00003845,PROJ000007,USR000010,Question,How do I archive projects?,High,Negative,Email,2025-02-03
FDBK00003846,PROJ000193,USR000400,Bug Report,Search results are inaccurate.,High,Negative,Support Ticket,2024-12-10
FDBK00003847,PROJ000081,USR000228,Bug Report,Search results are inaccurate.,Low,Neutral,Email,2025-02-20
FDBK00003848,PROJ000041,USR000271,Bug Report,Search results are inaccurate.,Medium,Neutral,Web,2024-11-14
FDBK00003849,PROJ000132,USR000237,Question,Where can I export analytics?,Medium,Positive,Web,2026-06-18
FDBK00003850,PROJ000208,USR000722,Complaint,Too many unnecessary notifications.,Low,Negative,Web,2024-10-15
FDBK00003851,PROJ000245,USR000620,Question,Is API access available?,Critical,Positive,Web,2025-03-25
FDBK00003852,PROJ000210,USR000614,Improvement,Simplify navigation menus.,Medium,Neutral,Email,2025-12-20
FDBK00003853,PROJ000106,USR000131,Praise,Great collaboration features.,Medium,Neutral,Web,2026-01-05
FDBK00003854,PROJ000200,USR000014,Improvement,Simplify navigation menus.,Low,Neutral,Web,2025-09-14
FDBK00003855,PROJ000178,USR000054,Complaint,Reports are difficult to understand.,Medium,Negative,Survey,2026-04-30
FDBK00003856,PROJ000002,USR000307,Praise,Very intuitive interface.,High,Neutral,Support Ticket,2024-08-09
FDBK00003857,PROJ000040,USR000380,Question,Can I restore deleted tickets?,Critical,Neutral,Email,2025-03-16
FDBK00003858,PROJ000194,USR000202,Praise,AI suggestions are extremely useful.,Critical,Negative,Mobile,2025-12-23
FDBK00003859,PROJ000135,USR000555,Praise,AI suggestions are extremely useful.,Low,Positive,Web,2025-08-27
FDBK00003860,PROJ000104,USR000733,Praise,Great collaboration features.,Low,Positive,Support Ticket,2025-11-24
FDBK00003861,PROJ000202,USR000167,Praise,Great collaboration features.,Medium,Negative,Email,2025-11-23
FDBK00003862,PROJ000237,USR000744,Complaint,Application freezes frequently.,Medium,Positive,Survey,2025-11-29
FDBK00003863,PROJ000142,USR000032,Bug Report,Dashboard takes too long to load.,Low,Positive,Support Ticket,2026-05-23
FDBK00003864,PROJ000234,USR000047,Bug Report,Dashboard takes too long to load.,Low,Positive,Mobile,2025-08-07
FDBK00003865,PROJ000169,USR000639,Praise,Very intuitive interface.,Low,Positive,Support Ticket,2026-05-07
FDBK00003866,PROJ000160,USR000211,Improvement,Simplify navigation menus.,Critical,Negative,Mobile,2026-03-08
FDBK00003867,PROJ000245,USR000486,Feature Request,Support multilingual interface.,Critical,Neutral,Web,2025-09-06
FDBK00003868,PROJ000083,USR000549,Question,Is API access available?,Critical,Positive,Survey,2025-11-20
FDBK00003869,PROJ000124,USR000727,Improvement,Simplify navigation menus.,Medium,Positive,Web,2026-02-04
FDBK00003870,PROJ000071,USR000311,Question,Where can I export analytics?,High,Negative,Survey,2025-05-29
FDBK00003871,PROJ000004,USR000353,Praise,Very intuitive interface.,High,Positive,Survey,2025-06-13
FDBK00003872,PROJ000075,USR000653,Bug Report,Dashboard takes too long to load.,Medium,Positive,Web,2025-06-25
FDBK00003873,PROJ000180,USR000257,Complaint,Workflow is confusing.,Low,Negative,Survey,2026-03-13
FDBK00003874,PROJ000172,USR000628,Praise,Excellent dashboard experience.,Low,Neutral,Support Ticket,2025-05-23
FDBK00003875,PROJ000203,USR000485,Question,How do I archive projects?,High,Positive,Email,2025-10-21
FDBK00003876,PROJ000034,USR000283,Question,Is API access available?,High,Positive,Support Ticket,2025-05-30
FDBK00003877,PROJ000187,USR000022,Complaint,Application freezes frequently.,Medium,Neutral,Mobile,2024-12-10
FDBK00003878,PROJ000188,USR000131,Praise,Fast and reliable platform.,Critical,Neutral,Web,2025-11-27
FDBK00003879,PROJ000067,USR000369,Question,Can I restore deleted tickets?,Low,Negative,Email,2025-08-19
FDBK00003880,PROJ000122,USR000790,Bug Report,Application crashes while generating reports.,Critical,Neutral,Web,2024-08-11
FDBK00003881,PROJ000101,USR000083,Praise,Very intuitive interface.,Critical,Neutral,Web,2026-06-29
FDBK00003882,PROJ000247,USR000561,Improvement,Simplify navigation menus.,High,Positive,Web,2025-12-09
FDBK00003883,PROJ000064,USR000486,Feature Request,Enable custom dashboard widgets.,Low,Neutral,Survey,2025-06-11
FDBK00003884,PROJ000064,USR000529,Question,How do I archive projects?,Critical,Positive,Survey,2026-04-26
FDBK00003885,PROJ000083,USR000670,Improvement,Enhance dashboard usability.,Low,Negative,Web,2025-12-31
FDBK00003886,PROJ000161,USR000064,Complaint,Application freezes frequently.,Low,Positive,Mobile,2024-09-01
FDBK00003887,PROJ000072,USR000419,Complaint,Support response is too slow.,High,Positive,Email,2026-02-06
FDBK00003888,PROJ000077,USR000389,Praise,Fast and reliable platform.,Medium,Negative,Support Ticket,2026-02-11
FDBK00003889,PROJ000175,USR000022,Complaint,Application freezes frequently.,Low,Positive,Email,2026-02-27
FDBK00003890,PROJ000243,USR000791,Bug Report,Application crashes while generating reports.,Critical,Negative,Support Ticket,2025-05-23
FDBK00003891,PROJ000232,USR000016,Feature Request,Integrate with Slack notifications.,Critical,Neutral,Support Ticket,2026-02-05
FDBK00003892,PROJ000181,USR000138,Feature Request,Provide export to PDF option.,Critical,Neutral,Mobile,2025-04-10
FDBK00003893,PROJ000229,USR000456,Praise,AI suggestions are extremely useful.,Low,Neutral,Email,2024-08-28
FDBK00003894,PROJ000061,USR000037,Praise,Fast and reliable platform.,Medium,Negative,Support Ticket,2026-01-09
FDBK00003895,PROJ000222,USR000148,Feature Request,Add dark mode support.,High,Positive,Mobile,2024-11-15
FDBK00003896,PROJ000102,USR000378,Bug Report,Dashboard takes too long to load.,Critical,Positive,Survey,2024-11-29
FDBK00003897,PROJ000239,USR000635,Bug Report,Search results are inaccurate.,Medium,Positive,Support Ticket,2025-11-10
FDBK00003898,PROJ000194,USR000758,Improvement,Optimize search experience.,High,Negative,Email,2025-01-20
FDBK00003899,PROJ000097,USR000012,Improvement,Optimize search experience.,High,Positive,Survey,2026-04-24
FDBK00003900,PROJ000161,USR000469,Question,Can I restore deleted tickets?,Critical,Neutral,Web,2025-06-26
FDBK00003901,PROJ000130,USR000077,Praise,Very intuitive interface.,Low,Positive,Email,2026-05-29
FDBK00003902,PROJ000156,USR000016,Question,Is API access available?,Medium,Neutral,Survey,2026-05-25
FDBK00003903,PROJ000026,USR000313,Improvement,Improve application performance.,Critical,Negative,Email,2025-01-25
FDBK00003904,PROJ000102,USR000302,Bug Report,Application crashes while generating reports.,High,Negative,Survey,2025-11-19
FDBK00003905,PROJ000154,USR000015,Improvement,Enhance dashboard usability.,Critical,Neutral,Web,2026-06-01
FDBK00003906,PROJ000076,USR000115,Feature Request,Integrate with Slack notifications.,High,Neutral,Survey,2024-10-28
FDBK00003907,PROJ000140,USR000467,Feature Request,Provide export to PDF option.,Medium,Neutral,Email,2026-04-12
FDBK00003908,PROJ000022,USR000159,Bug Report,Dashboard takes too long to load.,Critical,Negative,Support Ticket,2026-06-09
FDBK00003909,PROJ000171,USR000387,Improvement,Simplify navigation menus.,High,Positive,Survey,2025-04-04
FDBK00003910,PROJ000245,USR000552,Praise,Very intuitive interface.,Medium,Neutral,Email,2026-03-03
FDBK00003911,PROJ000112,USR000435,Praise,Fast and reliable platform.,Medium,Neutral,Support Ticket,2026-07-21
FDBK00003912,PROJ000246,USR000329,Praise,Very intuitive interface.,High,Neutral,Web,2025-11-23
FDBK00003913,PROJ000137,USR000295,Improvement,Improve application performance.,Low,Positive,Support Ticket,2024-10-27
FDBK00003914,PROJ000108,USR000613,Bug Report,Search results are inaccurate.,Low,Neutral,Support Ticket,2026-05-05
FDBK00003915,PROJ000108,USR000336,Complaint,Too many unnecessary notifications.,Critical,Negative,Support Ticket,2026-04-17
FDBK00003916,PROJ000147,USR000066,Improvement,Enhance dashboard usability.,High,Negative,Email,2025-01-27
FDBK00003917,PROJ000241,USR000764,Bug Report,Notification emails are duplicated.,Medium,Positive,Mobile,2026-03-23
FDBK00003918,PROJ000238,USR000105,Improvement,Enhance dashboard usability.,Medium,Neutral,Survey,2026-05-03
FDBK00003919,PROJ000234,USR000770,Bug Report,Notification emails are duplicated.,Low,Negative,Email,2025-06-06
FDBK00003920,PROJ000014,USR000434,Feature Request,Add dark mode support.,Critical,Positive,Email,2025-05-26
FDBK00003921,PROJ000113,USR000057,Complaint,Workflow is confusing.,Critical,Neutral,Support Ticket,2024-11-21
FDBK00003922,PROJ000092,USR000108,Question,Can I restore deleted tickets?,Low,Neutral,Support Ticket,2025-08-21
FDBK00003923,PROJ000238,USR000768,Feature Request,Add dark mode support.,Critical,Negative,Email,2024-09-19
FDBK00003924,PROJ000072,USR000724,Question,How do permissions work?,Medium,Neutral,Support Ticket,2026-02-11
FDBK00003925,PROJ000063,USR000201,Feature Request,Provide export to PDF option.,Medium,Neutral,Mobile,2025-11-28
FDBK00003926,PROJ000029,USR000369,Praise,AI suggestions are extremely useful.,Medium,Positive,Web,2025-12-02
FDBK00003927,PROJ000203,USR000306,Improvement,Enhance dashboard usability.,Critical,Neutral,Web,2026-05-21
FDBK00003928,PROJ000002,USR000071,Question,How do I archive projects?,High,Positive,Survey,2025-02-19
FDBK00003929,PROJ000023,USR000243,Praise,AI suggestions are extremely useful.,Low,Neutral,Survey,2025-08-26
FDBK00003930,PROJ000030,USR000103,Question,Is API access available?,High,Neutral,Survey,2025-05-15
FDBK00003931,PROJ000190,USR000054,Praise,Fast and reliable platform.,Critical,Positive,Mobile,2026-07-18
FDBK00003932,PROJ000198,USR000533,Complaint,Too many unnecessary notifications.,Low,Neutral,Mobile,2026-04-08
FDBK00003933,PROJ000012,USR000746,Feature Request,Provide export to PDF option.,Critical,Positive,Email,2025-02-22
FDBK00003934,PROJ000194,USR000463,Feature Request,Provide export to PDF option.,Low,Positive,Mobile,2024-11-16
FDBK00003935,PROJ000136,USR000550,Praise,Very intuitive interface.,Medium,Positive,Email,2025-08-04
FDBK00003936,PROJ000134,USR000067,Question,How do permissions work?,Medium,Positive,Web,2025-02-08
FDBK00003937,PROJ000212,USR000797,Praise,Excellent dashboard experience.,Low,Neutral,Email,2025-04-05
FDBK00003938,PROJ000101,USR000790,Complaint,Workflow is confusing.,Critical,Positive,Mobile,2024-11-03
FDBK00003939,PROJ000056,USR000035,Feature Request,Support multilingual interface.,Critical,Neutral,Survey,2025-02-13
FDBK00003940,PROJ000044,USR000775,Praise,Very intuitive interface.,Low,Negative,Email,2025-02-01
FDBK00003941,PROJ000187,USR000747,Complaint,Reports are difficult to understand.,Critical,Neutral,Mobile,2025-04-02
FDBK00003942,PROJ000054,USR000529,Question,Where can I export analytics?,Low,Neutral,Survey,2025-04-25
FDBK00003943,PROJ000135,USR000621,Bug Report,Dashboard takes too long to load.,Critical,Positive,Support Ticket,2025-01-22
FDBK00003944,PROJ000173,USR000233,Feature Request,Enable custom dashboard widgets.,Low,Neutral,Mobile,2025-02-24
FDBK00003945,PROJ000079,USR000604,Feature Request,Add dark mode support.,Medium,Neutral,Email,2025-10-06
FDBK00003946,PROJ000231,USR000454,Feature Request,Provide export to PDF option.,Medium,Positive,Web,2024-11-26
FDBK00003947,PROJ000037,USR000515,Feature Request,Provide export to PDF option.,Medium,Positive,Web,2025-04-24
FDBK00003948,PROJ000023,USR000213,Complaint,Application freezes frequently.,Medium,Positive,Survey,2026-06-15
FDBK00003949,PROJ000072,USR000092,Improvement,Reduce loading times.,Medium,Negative,Support Ticket,2026-02-23
FDBK00003950,PROJ000037,USR000416,Complaint,Too many unnecessary notifications.,High,Positive,Mobile,2026-03-04
FDBK00003951,PROJ000004,USR000508,Feature Request,Support multilingual interface.,Critical,Positive,Web,2024-09-26
FDBK00003952,PROJ000198,USR000181,Praise,Very intuitive interface.,Critical,Negative,Survey,2026-02-15
FDBK00003953,PROJ000056,USR000791,Complaint,Workflow is confusing.,Critical,Neutral,Survey,2026-05-11
FDBK00003954,PROJ000113,USR000725,Praise,AI suggestions are extremely useful.,High,Negative,Survey,2025-11-26
FDBK00003955,PROJ000095,USR000626,Improvement,Optimize search experience.,Critical,Negative,Survey,2025-01-27
FDBK00003956,PROJ000225,USR000416,Feature Request,Provide export to PDF option.,Critical,Neutral,Mobile,2025-11-08
FDBK00003957,PROJ000031,USR000289,Complaint,Support response is too slow.,Critical,Negative,Web,2025-10-01
FDBK00003958,PROJ000233,USR000668,Bug Report,Dashboard takes too long to load.,Medium,Positive,Mobile,2025-07-21
FDBK00003959,PROJ000149,USR000687,Question,Can I restore deleted tickets?,Critical,Neutral,Web,2025-08-19
FDBK00003960,PROJ000017,USR000649,Improvement,Optimize search experience.,High,Neutral,Mobile,2025-12-29
FDBK00003961,PROJ000147,USR000282,Feature Request,Integrate with Slack notifications.,Critical,Positive,Survey,2025-04-06
FDBK00003962,PROJ000008,USR000578,Complaint,Reports are difficult to understand.,High,Negative,Survey,2024-08-16
FDBK00003963,PROJ000134,USR000692,Question,Is API access available?,Low,Neutral,Web,2026-03-10
FDBK00003964,PROJ000143,USR000005,Feature Request,Support multilingual interface.,High,Negative,Survey,2024-11-25
FDBK00003965,PROJ000145,USR000155,Bug Report,Dashboard takes too long to load.,Medium,Negative,Mobile,2024-08-02
FDBK00003966,PROJ000038,USR000296,Bug Report,Application crashes while generating reports.,Critical,Neutral,Mobile,2026-04-14
FDBK00003967,PROJ000173,USR000508,Question,Is API access available?,Critical,Positive,Web,2025-07-04
FDBK00003968,PROJ000203,USR000048,Bug Report,Search results are inaccurate.,Low,Negative,Mobile,2026-01-29
FDBK00003969,PROJ000166,USR000365,Bug Report,Login page becomes unresponsive after timeout.,High,Positive,Web,2026-06-01
FDBK00003970,PROJ000008,USR000313,Question,Is API access available?,Medium,Neutral,Mobile,2025-12-31
FDBK00003971,PROJ000010,USR000002,Feature Request,Enable custom dashboard widgets.,Low,Positive,Email,2025-04-04
FDBK00003972,PROJ000080,USR000578,Praise,Great collaboration features.,Low,Neutral,Survey,2024-07-31
FDBK00003973,PROJ000168,USR000690,Complaint,Reports are difficult to understand.,Medium,Positive,Web,2025-03-12
FDBK00003974,PROJ000060,USR000009,Bug Report,Application crashes while generating reports.,Low,Negative,Support Ticket,2025-12-10
FDBK00003975,PROJ000172,USR000728,Praise,Excellent dashboard experience.,Medium,Positive,Survey,2025-11-20
FDBK00003976,PROJ000175,USR000041,Bug Report,Dashboard takes too long to load.,High,Positive,Email,2025-02-15
FDBK00003977,PROJ000081,USR000013,Bug Report,Login page becomes unresponsive after timeout.,Medium,Neutral,Mobile,2025-03-10
FDBK00003978,PROJ000110,USR000268,Feature Request,Enable custom dashboard widgets.,Critical,Negative,Email,2026-05-31
FDBK00003979,PROJ000186,USR000430,Improvement,Reduce loading times.,Critical,Positive,Survey,2024-07-28
FDBK00003980,PROJ000023,USR000560,Improvement,Optimize search experience.,Low,Neutral,Mobile,2025-07-22
FDBK00003981,PROJ000139,USR000477,Improvement,Improve application performance.,Critical,Negative,Web,2026-06-01
FDBK00003982,PROJ000165,USR000672,Question,How do I archive projects?,High,Positive,Web,2026-05-08
FDBK00003983,PROJ000146,USR000230,Complaint,Application freezes frequently.,Critical,Neutral,Web,2026-01-21
FDBK00003984,PROJ000064,USR000255,Bug Report,Application crashes while generating reports.,Low,Neutral,Support Ticket,2024-12-30
FDBK00003985,PROJ000122,USR000196,Improvement,Simplify navigation menus.,Low,Neutral,Survey,2024-08-22
FDBK00003986,PROJ000222,USR000021,Improvement,Simplify navigation menus.,High,Positive,Web,2025-03-03
FDBK00003987,PROJ000016,USR000641,Complaint,Workflow is confusing.,High,Negative,Support Ticket,2025-04-23
FDBK00003988,PROJ000046,USR000254,Praise,Great collaboration features.,Critical,Neutral,Email,2025-03-14
FDBK00003989,PROJ000122,USR000038,Improvement,Optimize search experience.,Medium,Positive,Survey,2025-12-02
FDBK00003990,PROJ000184,USR000501,Feature Request,Provide export to PDF option.,High,Negative,Email,2026-01-02
FDBK00003991,PROJ000054,USR000458,Complaint,Support response is too slow.,Low,Negative,Web,2025-11-18
FDBK00003992,PROJ000104,USR000323,Question,How do I archive projects?,Low,Positive,Survey,2025-11-26
FDBK00003993,PROJ000230,USR000739,Complaint,Support response is too slow.,Low,Neutral,Support Ticket,2025-11-16
FDBK00003994,PROJ000175,USR000064,Praise,Excellent dashboard experience.,Medium,Negative,Mobile,2025-03-16
FDBK00003995,PROJ000240,USR000781,Bug Report,Dashboard takes too long to load.,High,Neutral,Web,2025-08-01
FDBK00003996,PROJ000079,USR000541,Bug Report,Login page becomes unresponsive after timeout.,High,Positive,Support Ticket,2026-05-17
FDBK00003997,PROJ000148,USR000225,Feature Request,Provide export to PDF option.,Critical,Neutral,Support Ticket,2024-12-03
FDBK00003998,PROJ000164,USR000068,Bug Report,Search results are inaccurate.,Medium,Negative,Survey,2025-12-23
FDBK00003999,PROJ000180,USR000080,Improvement,Enhance dashboard usability.,High,Neutral,Mobile,2025-02-24
FDBK00004000,PROJ000220,USR000447,Complaint,Too many unnecessary notifications.,Low,Negative,Support Ticket,2026-06-06
FDBK00004001,PROJ000057,USR000099,Bug Report,Dashboard takes too long to load.,High,Positive,Mobile,2024-09-05
FDBK00004002,PROJ000039,USR000707,Complaint,Too many unnecessary notifications.,Medium,Negative,Email,2025-09-03
FDBK00004003,PROJ000029,USR000722,Question,Can I restore deleted tickets?,High,Negative,Web,2024-08-31
FDBK00004004,PROJ000127,USR000507,Feature Request,Enable custom dashboard widgets.,Medium,Positive,Survey,2025-11-26
FDBK00004005,PROJ000105,USR000189,Question,Is API access available?,Medium,Neutral,Mobile,2024-09-09
FDBK00004006,PROJ000224,USR000659,Improvement,Simplify navigation menus.,Low,Positive,Support Ticket,2026-06-03
FDBK00004007,PROJ000110,USR000647,Complaint,Workflow is confusing.,High,Positive,Web,2025-03-23
FDBK00004008,PROJ000182,USR000289,Praise,AI suggestions are extremely useful.,Critical,Neutral,Mobile,2025-01-18
FDBK00004009,PROJ000069,USR000079,Praise,Very intuitive interface.,Critical,Positive,Support Ticket,2026-05-04
FDBK00004010,PROJ000187,USR000493,Feature Request,Provide export to PDF option.,Critical,Negative,Survey,2026-02-02
FDBK00004011,PROJ000130,USR000257,Complaint,Workflow is confusing.,Medium,Neutral,Email,2024-08-18
FDBK00004012,PROJ000099,USR000126,Praise,Very intuitive interface.,Low,Neutral,Mobile,2025-11-26
FDBK00004013,PROJ000024,USR000574,Improvement,Improve application performance.,Medium,Negative,Support Ticket,2025-06-01
FDBK00004014,PROJ000169,USR000576,Praise,Very intuitive interface.,High,Negative,Support Ticket,2025-11-25
FDBK00004015,PROJ000039,USR000565,Praise,Fast and reliable platform.,Low,Neutral,Mobile,2026-05-24
FDBK00004016,PROJ000154,USR000322,Feature Request,Integrate with Slack notifications.,Medium,Neutral,Email,2024-08-24
